brand,video_id,video_title,channel,published_at,view_count,comment_count,text,flagged_signals,type
GT's Living Foods,I1r-I0rBVJA,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,Rooted With Ash | PCOS & Insulin Resistance,2025-06-18T14:13:28Z,25905,46,Taste testing the most viral probiotic yogurt 👀 Is Coconut Cult worth it?! #guthealth #probiotics,,video_title
GT's Living Foods,D7hdG-T6DxM,Synergy Kombucha taste test! 🍍,Firebelly Marketing,2025-04-24T22:20:23Z,1010,2,Is this an ad? 🎉,,comment
GT's Living Foods,D7hdG-T6DxM,Synergy Kombucha taste test! 🍍,Firebelly Marketing,2025-04-24T22:20:23Z,1010,2,Synergy Kombucha taste test! 🍍,,video_title
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,Damn you really just wasted a whole tuna because you didn’t prepare it right,,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,"That fish was NOT bled. Not a bad fish, just bad fisherman. Basically wasting a perfectly good fish.",,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,There’s no way the wasabi on the scales was able to penetrate that skin,,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,"Lmao, imagine catching a valuable delicacy and not spending 5 minutes researching how to cook it",,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,"I've tried bonito. It needs to be bled out first before eaten, otherwise it will have a strong blood flavor",,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,"""despite my best efforts"" You put it in a closet for a week covered in glorified mustardroot and ate it raw. lol",best,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,*it taste better fried*,,comment
GT's Living Foods,w4jDx6Wenjw,World’s WORST Tasting Tuna,Max the Meat Guy,2025-02-10T22:51:54Z,4939289,1942,Every seasoned fisherman out here is crying. This was a terrible idea I challenge you to try this with even a trout.,,comment
